"iid","nid","tid","parent_iid"
"1069","71455","3031",NULL
"1070","666","2738",NULL
"1071","44269","1330",NULL
"1072","1580","1460",NULL
"1073","44385","3239",NULL
"1074","1161","2938",NULL
"1075","76375","3055",NULL
"1076","847","1593",NULL
"1077","97427","3595",NULL
"1078","366","279",NULL
"1079","1700","1748",NULL
"1080","230","507",NULL
"1081","626","1022",NULL
"1082","583","1409",NULL
"1083","313","1211",NULL
"1084","89337","793",NULL
"1085","887","1283",NULL
"1086","94092","3680",NULL
"1087","960","1043",NULL
"1088","1458","1722",NULL
"1089","45385","3483",NULL
"1090","1194","185",NULL
"1091","1034","2351",NULL
"1092","1228","1411",NULL
"1093","44267","2733",NULL
"1094","387","3042",NULL
"1095","5464","1179",NULL
"1096","57883","794",NULL
"1097","60896","1431",NULL
"1098","1072","2345",NULL
"1099","45082","2970",NULL
"1100","1295","719",NULL
"1101","314","1230",NULL
"1102","351","1181",NULL
"1103","119","2969",NULL
"1104","4745","559",NULL
"1105","41966","2913",NULL
"1106","457","943",NULL
"1107","929","3467",NULL
"1108","44565","3191",NULL
"1109","1719","2868",NULL
"1110","87513","3716",NULL
"1111","3224","363",NULL
"1112","860","1625",NULL
"1113","5284","722",NULL
"1114","41435","1414",NULL
"1115","85813","3448",NULL
"1116","47858","1700",NULL
"1117","828","334",NULL
"1118","49937","845",NULL
"1119","1195","187",NULL
"1120","44078","1661",NULL
"1121","621","3187",NULL
"1122","761","1644",NULL
